curve_id,curve_label,curve_role,panel,quantity,x_log10_1pz,redshift,value_mpc3,colour,linestyle,source
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5969526416,38.5323508979,5.3440190557e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6078010211,39.5322787810,3.1584658234e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6183768296,40.5314247110,1.8454739657e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6287073266,41.5311696674,1.0418624065e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6387925054,42.5303847132,5.5242515071e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6486596254,43.5307105953,2.8403948936e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6583086867,44.5311570288,1.3454367375e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6677396925,45.5307114053,6.1912137308e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6769526395,46.5283392761,2.9916006144e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.6860020434,47.5290783461,1.5833646261e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.7035284497,49.5275743343,5.8288660775e-05,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.8369797607,5.8703642145,1.1220861236e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.8406187376,5.9281732212,1.3149536565e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.8601621816,6.2470654179,1.4988096160e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.8889730849,6.7441380262,3.0060690548e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.9095523006,7.1199302864,5.1046068952e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.9249798975,7.4135619634,9.8207009313e-05,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.9445505977,7.8013764657,1.8123847605e-04,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
popii_a,Pop-II,popii,a,rate,0.9651025539,8.2278930811,3.5270127329e-04,#1b9e77,-,Chen+2026 Fig.6a vector path 987; page-10 first-column trace
