Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh,colour,face colour,shape,label,ADSABS,data
-2.8662781025055164,,49869.09951805525,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.845953079080409,,50321.25451073091,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.814126495555781,,50777.50911898771,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.782299912031151,,51237.900513371555,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7504733285065126,,51702.46620144774,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7250314091539973,,52171.24403085622,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.701161471510524,,52644.27219239564,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.6808097180320676,,53121.58922313429,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.660918103329173,,53603.234009549764,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.644870524870255,,54089.24579069702,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.629723494637369,,54579.66416140512,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.629723494637369,,55074.5290755031,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.6255841549468335,,55573.8808490745,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.593757571422202,,56077.76016374257,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.568677144219783,,56586.20806998408,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.568677144219783,,57099.265990473774,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.568677144219783,,57616.97572345905,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.568677144219783,,58139.37944616518,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.520837985877525,,58666.519718231466,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.3935316517790004,,59198.439485178526,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.3190292652179707,,59735.182081907114,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.3070942963962353,,60276.79123622813,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
