curve,r_pc,v_km_s,log10_mass_reference,chi2_reduced,source_kind,source_note
point_mass_keplerian,-6.126568115301679,-62.83064877418346,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.25121052201186,-62.20110713682172,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.378388725151319,-61.57787329161086,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.508154314413324,-60.96088403662831,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.640559929061385,-60.350076803213156,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.775659279282295,-59.745389649621124,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.913507167973616,-59.14676125474306,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.054159512974418,-58.55413091188633,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.19767336974827,-57.96743852261868,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.344106954527737,-57.38662459067358,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.493519667929721,-56.81163021591678,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.645972119051265,-56.242397088373245,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.801526150055549,-55.67886748231398,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-7.960244861258101,-55.12098425040208,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.122192636723371,-54.568690817897426,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.287435170382048,-54.02193117691945,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.456039492679727,-53.48064988076746,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.628073997767743,-52.94479203829772,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.803608471247168,-52.41430330835702,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-8.982714118477263,-51.88912989427195,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-9.165463593459865,-51.36921853839339,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-9.35193102831138,-50.85451651669564,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-9.5421920633344,-50.34497163342978,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-9.736323877701118,-49.84053221583041,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-9.934405220760945,-49.341147108875624,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-10.13651644398512,-48.84676567009934,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-10.342739533561167,-48.357337764455714,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-10.55315814365053,-47.872813759234894,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-10.767857630322768,-47.39314451902985,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-10.986925086180134,-46.918281400753564,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-11.210449375686627,-46.44817624870609,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-11.438521171215738,-45.98278138969116,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-11.671232989831578,-45.52204962818168,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-11.90867923081836,-45.06593424153359,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-12.150956213973338,-44.614388975247735,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-12.398162218678808,-44.16736803827929,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-12.650397523769064,-43.72482609839403,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-12.90776444820837,-43.28671827757123,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-13.170367392596521,-42.85300014745262,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-13.438312881518858,-42.42362772483688,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-13.711709606757827,-41.99855746721935,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-13.99066847138366,-41.5777462683764,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-14.275302634742118,-41.161151453994044,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-14.565727558357427,-40.748730777340306,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-14.862061052769096,-40.34044241498108,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-15.164423325321671,-39.936244962538744,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-15.472937028926689,-39.53609743049341,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-15.787727311816658,-39.13995924002621,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-16.108921868311356,-38.747790218904115,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-16.436650990616844,-38.359550597406184,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-16.771047621678356,-37.97520100429051,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-17.112247409108466,-37.59470246280155,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-17.460388760212393,-37.218016386717544,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-17.815612898132727,-36.84510457643751,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-18.178063919136488,-36.4759292151074,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-18.547888851067594,-36.11045286478511,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-18.925237712988494,-35.74863846264398,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-19.310263576035315,-35.39044931721417,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-19.70312262551093,-35.035849104661835,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-20.103974224241345,-34.684801865105555,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-20.512980977221105,-34.33727199896962,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-20.93030879757378,-33.99322426337391,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-21.356126973854412,-33.652623768559955,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-21.790608238721298,-33.3154359743527,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-22.233928839004747,-32.98162668665787,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-22.686268607201374,-32.65116205399434,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-23.147811034423036,-32.324008564061245,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-23.618743344829735,-32.00013304033952,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-24.099256571576852,-31.679502638727527,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-24.58954563430762,-31.36208484421027,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-25.089809418221993,-31.047847467562097,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-25.600250854754186,-30.736758642082428,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-26.121077003891642,-30.428786820364113,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-26.652499138168647,-30.123900771094245,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-27.194732828368753,-29.822069575887024,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-27.747998030970898,-29.52326262614829,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-28.31251917737446,-29.227449619971548,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-28.888525264939574,-28.93460055906507,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-29.4762499498797,-28.644685745709744,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
